demvote,repvote,vote,demvoteshare,lagdemvoteshare,realada
89391,82304,.46285716,.52063835,.50339472,73.830002
99408,111018,.64492756,.47241309,.52063835,30.110001
85369,94977,.64963502,.47336233,.47241309,44.66
84568,126850,.71597636,.40000379,.47336233,36.580002
101028,78665,.69767439,.56222558,.40000379,68.040001
124547,102271,.7478261,.54910547,.56222558,67.330002
104728,82215,.73708922,.56021357,.54910547,71.110001
126353,71393,.7352941,.63896614,.56021357,60.459999
86029,67226,.72440946,.56134546,.63896614,71.82
102636,80696,.76285714,.5598368,.56134546,44.669998
89042,69084,.69469833,.56310791,.5598368,38.560001
121217,106313,.6865828,.53275174,.56310791,76.809998
114316,55177,.66284621,.6744585,.53275174,47.59
121623,96714,.66874999,.55704254,.6744585,69.650002
96830,66663,.63449937,.5922578,.55704254,64.089996
103903,117024,.7185629,.47030467,.5922578,64.639999
90638,88951,.69507802,.50469685,.47030467,89.580002
129230,115939,.69173861,.52710581,.50469685,78.610001
114276,49806,.69886363,.69645667,.52710581,85.660004
147394,74275,.75,.66492832,.69645667,94.760002
90772,83440,.69899666,.5210433,.66492832,97.110001
162568,84952,.66018516,.65678734,.5210433,92.290001
57913,93513,.79245281,.38245085,,16.629999
92618,117727,.64414412,.44031471,.38245085,43.16
88682,111939,.6438356,.44203746,.44031471,30.17
107881,164689,.64393938,.39579192,.44203746,18.950001
91184,123890,.65441179,.42396569,.39579192,58.970001
88487,194333,.66272187,.3128739,.42396569,65.720001
119766,115505,.69714284,.5090555,.3128739,68.040001
150205,160654,.7096774,.48319334,.5090555,24.049999
122362,132595,.71153843,.47993192,.48319334,41.82
117220,109027,.69914043,.51810634,.47993192,81.480003
89709,86337,.69999999,.50957704,.51810634,86.599998
104723,113749,.74744028,.47934288,.50957704,44.669998
78699,104494,.70072991,.4295961,.47934288,69.639999
79515,135883,.69915253,.36915386,.4295961,53.360001
71047,83630,.68800002,.45932493,.36915386,57.959999
76722,126314,.7478705,.37787387,.45932493,42.59
59918,83990,.67783248,.41636324,.37787387,88
74326,124285,.69868994,.37422901,.41636324,75.050003
71110,93660,.6926952,.43157127,.37422901,64.330002
69666,165644,.62827224,.2960605,.43157127,55.169998
66999,77212,.64814812,.46459007,.2960605,
55751,147843,.59954494,.2738342,.46459007,80.459999
32352,105682,.55493897,.23437704,.2738342,61.700001
58666,147816,.60146254,.28412163,.23437704,56.52
39785,51790,.77564102,.43445262,,23.74
58300,62804,.65765768,.48140442,.43445262,20.040001
56752,65915,.65625,.46265092,.48140442,35.889999
64020,83848,.67479676,.43295372,.46265092,21.41
61313,68451,.62043798,.47249621,.43295372,58.970001
56375,91690,.64864862,.38074493,.47249621,50.709999
72604,62353,.69461077,.53797877,.38074493,73.040001
88310,71964,.71365637,.55099392,.53797877,60.110001
83321,59072,.70388347,.58514816,.55099392,77.629997
133072,64651,.71708685,.67302233,.58514816,71.690002
96801,67094,.73023254,.59062815,.67302233,78.32
110337,85591,.77922076,.56315076,.59062815,44.669998
96947,78414,.70190638,.55284244,.56315076,72.489998
112142,117578,.72787195,.48816821,.55284244,41.639999
90407,94998,.68488747,.48761898,.48816821,47.59
77308,157009,.73599243,.32992911,.48761898,18.540001
96738,88162,.68808115,.52319092,.32992911,100
117316,115614,.73451328,.50365347,.52319092,90.529999
101362,70808,.71913928,.58873206,.50365347,84.529999
109425,130700,.60958904,.45570016,.58873206,7.98
63371,98664,.60836083,.39109451,.45570016,37.810001
58612,163729,.69448376,.2636131,.39109451,
85803,93912,.54350281,.47743928,.2636131,13.13
74791,104891,.58926922,.4162409,.47743928,9.1099997
115498,81105,.71130955,.58746815,,77.739998
79865,81907,.74722838,.49368864,.58746815,27.74
76413,126208,.76245213,.37712282,.49368864,18.77
96969,92906,.73665482,.51069915,.37712282,62.84
140290,92783,.70838118,.60191441,.51069915,67.209999
122785,69942,.6823135,.63709289,.60191441,97.300003
134914,102364,.67162067,.5685904,.63709289,107.53
119537,66664,.6348471,.64197826,.5685904,100
142685,98331,.64937758,.59201461,.64197826,90.660004
92178,99703,.65476191,.4803915,.59201461,41.849998
87489,155422,.68134415,.36016896,.4803915,39.439999
62133,111304,.6964286,.35824534,.36016896,42.91
78814,157020,.68229777,.33419269,.35824534,28.049999
48628,141105,.60523319,.25629699,.33419269,36.41
60373,166967,.60508955,.26556259,.25629699,38.470001
277872,377972,.75316453,.42368612,,16.629999
429348,433311,.65350878,.49770305,.42368612,14.9
426485,433912,.75496691,.49568397,.49770305,10.22
489645,601238,.65693432,.44885197,.49568397,21.41
455887,474585,.66417909,.48995242,.44885197,58.970001
428709,683387,.64739883,.38549641,.48995242,6.5599999
542315,425452,.69767439,.56037766,.38549641,78.129997
657680,560803,.72477067,.53975314,.56037766,
543424,487575,.74358976,.52708489,.53975314,67.870003
26378,38975,.75925928,.4036234,,9.5200005
31528,52536,.63052207,.37504759,.4036234,14.9
41620,48869,.75438595,.45994541,.37504759,10.22
35078,56239,.66129035,.38413438,.45994541,-12.65
43561,47327,.66187048,.4792822,.38413438,32.73
57999,58028,.72023809,.49987504,.4792822,21.57
55686,51231,.67295599,.52083391,.49987504,68.040001
73826,85821,.640625,.46243274,.52083391,
58129,85864,.72549021,.40369323,.46243274,45.07
95195,95398,.78104573,.49946746,.40369323,62.709999
81302,72984,.75164837,.52695644,.49946746,64.639999
113501,86949,.76213592,.56623095,.52695644,73.400002
99483,68671,.72145331,.59161842,.56623095,69.639999
129408,88588,.71142286,.59362555,.59161842,80.720001
93524,94203,.68472111,.49819154,.59362555,47.59
108105,145523,.76241612,.42623448,.49819154,31.52
70348,120791,.68909711,.36804628,.42623448,38
86819,188667,.71669006,.3151485,.36804628,28.219999
118884,124850,.66364664,.48776126,.3151485,54.240002
104972,182785,.57209301,.3647939,.48776126,28.959999
121848,100260,.73661202,.54859799,.3647939,
190989,111125,.75495052,.63217527,.54859799,89.989998
167623,110836,.68806309,.60196656,.63217527,
232696,125236,.693097,.65011233,.60196656,
25739,39791,.7557252,.39278194,,16.629999
24698,50552,.62655604,.32821262,.39278194,20.870001
36506,49743,.63513511,.42326286,.32821262,17.16
27527,55393,.63559324,.33197057,.42326286,-4.6999998
39075,45819,.59139782,.46027988,.33197057,-18.4
55430,48292,.60571426,.53440928,.46027988,80.730003
59054,37219,.72674417,.61340147,.53440928,63.630001
62309,71271,.70046085,.46645457,.61340147,
69159,72349,.69117647,.48872855,.46645457,9.2799997
110931,67978,.75,.62004149,.48872855,86.379997
85956,65476,.71937639,.56762111,.62004149,86.599998
102369,81398,.71867615,.55705869,.56762111,102.21
96235,53642,.72605044,.64209318,.55705869,87.120003
89135,106280,.7244401,.45613182,.64209318,67.209999
47399,118154,.69437653,.2863071,.45613182,57.959999
43150,169292,.76648974,.20311426,.2863071,38.009998
70691,87939,.68029433,.44563448,.20311426,29
51026,186406,.71428573,.21490784,.44563448,49.029999
68086,136075,.67909604,.33349171,.21490784,54.240002
57347,192166,.61016947,.22983572,.33349171,48.959999
43614,148770,.62580645,.22670284,.22983572,50.77
85346,167229,.65331811,.33790359,.22670284,32.810001
116798,121704,.6214689,.48971498,.33790359,36.41
130824,153022,.62316179,.4608978,.48971498,31.32
11743,31622,.7482993,.27079442,,1.53
15888,38692,.62380952,.29109564,.27079442,2.3599999
22605,38289,.75609756,.37121883,.29109564,
14103,45095,.60583943,.2382344,.37121883,-2.1199999
25912,39749,.61702126,.39463302,.2382344,15.02
28612,44095,.69375002,.39352471,.39463302,-.5
31616,40156,.59887004,.44050604,.39352471,3.3599999
41307,73742,.64039409,.35903832,.44050604,2.4200001
40549,59222,.73750001,.40642071,,30.92
56604,75582,.64727271,.42821479,.40642071,33.75
39717,88018,.62721896,.31093279,.42821479,73.830002
49379,101512,.66206896,.32724947,.31093279,73.629997
54675,68420,.65354329,.44416913,.32724947,44.66
52213,92269,.61658031,.36138067,.44416913,61.25
52853,66067,.64444447,.44444165,.36138067,38.529999
46863,102921,.72608697,.31287053,.44444165,
36711,106498,.66666669,.25634563,.31287053,51.580002
0,139503,.74074072,0,.25634563,62.709999
0,109370,.7262181,0,0,64.639999
0,140419,.74146342,0,0,73.400002
0,117045,.70497429,0,0,69.639999
0,159282,.71078432,0,0,61.18
43524,107285,.69975388,.28860345,0,73.169998
78181,137652,.72576362,.36222914,.28860345,75.059998
0,131773,.6796813,0,.36222914,47.09
52457,156415,.71628499,.25114423,0,80.400002
60372,162646,.56486797,.2707046,,73.660004
32396,113653,.67991167,.22181596,.2707046,83.68
38907,186356,.70046622,.17271811,.22181596,70.93
43611,150748,.7647059,.22438374,.17271811,
135049,113828,.66048235,.54263353,.22438374,92.290001
56459,59754,.79220778,.48582345,,16.629999
81775,67267,.63519311,.54867083,.48582345,71.419998
76497,63493,.45751634,.5464462,.54867083,73.830002
88424,81847,.7352941,.51931334,.5464462,83.300003
77899,52725,.65972221,.59636056,.51931334,58.970001
103563,65598,.60540539,.61221558,.59636056,73.68
103079,0,.75144511,1,.61221558,58.799999
135815,0,.74666667,1,1,74.540001
92340,43873,.71962619,.67790884,1,74.360001
125894,0,.72222221,1,.67790884,86.379997
95985,0,.73333335,1,1,84.82
126485,45262,.78758949,.73646116,1,77.459999
111430,0,.71428573,1,.73646116,88.339996
137616,0,.69520897,1,1,71.639999
105763,0,.70410728,1,1,77.809998
134408,41563,.70918012,.76380765,1,75.059998
101570,37881,.6981132,.72835618,.76380765,77
120711,38672,.71994537,.75736433,.72835618,80.400002
118215,44544,.71003717,.72631925,.75736433,75.800003
132693,60463,.67708331,.68697321,.72631925,68.720001
91033,47022,.73317015,.65939659,.68697321,81.779999
156262,0,.76277375,1,.65939659,81.110001
134152,0,.69347322,1,1,92.059998
131215,76795,.68490565,.63081104,1,92.290001
69038,42033,.62962961,.62156641,,53.950001
104601,36855,.62447256,.73945963,.62156641,45.830002
93591,37258,.55921054,.71525955,.73945963,50.119999
108743,52348,.74137932,.67504084,.71525955,71.629997
110013,0,.62043798,1,.67504084,74.309998
114848,47041,.61016947,.70942438,1,58.650002
114483,0,.66874999,1,.70942438,73.040001
145237,0,.74654377,1,1,74.540001
129326,49418,.74396133,.72352636,1,77.610001
177917,0,.73669469,1,.72352636,76.589996
126664,51646,.71670705,.71035838,1,78.32
91587,46860,.78446114,.66153115,.71035838,57.130001
63942,60575,.68760067,.51352024,.66153115,105.58
156703,0,.70746887,1,.51352024,57.23
78244,60717,.68509215,.56306446,1,89.07
168520,0,.68606323,1,.56306446,91.300003
119337,39259,.68165785,.75245905,1,73.660004
141560,54123,.70662904,.7234149,.75245905,90.660004
142611,0,.69425899,1,.7234149,74.43
148461,71765,.68461537,.6741302,1,83.550003
120222,0,.72759855,1,.6741302,78.589996
191005,0,.71898735,1,1,69.919998
150992,0,.68632078,1,1,80.18
115587,131473,.59508044,.46784991,1,
59847,58663,.6754967,.50499535,,53.950001
89064,61448,.62660944,.59174019,.50499535,71.419998
76881,57483,.5625,.5721845,.59174019,54.860001
93530,77536,.81196582,.54674804,.5721845,38.810001
83053,62318,.62790698,.57131755,.54674804,58.970001
104653,71437,.58045977,.59431541,.57131755,73.68
93993,53359,.69753087,.63788074,.59431541,68.040001
122364,67270,.75238097,.64526403,.63788074,74.540001
145166,0,.75242716,1,.64526403,74.379997
142339,56034,.74022347,.7175321,1,76.589996
137681,0,.71638143,1,.7175321,78.32
121211,77658,.77937651,.60950172,1,70.559998
95016,79870,.73434538,.54330248,.60950172,64.559998
101714,92250,.67040151,.5243963,.54330248,110.43
77286,21922,.6786859,.77902991,.5243963,97.300003
109268,100562,.69001985,.52074534,.77902991,128.85001
111353,0,.67937034,1,.52074534,100
103466,95898,.68469656,.51898038,1,90.529999
121802,82804,.69519341,.59530026,.51898038,90.349998
172903,60121,.68292683,.74199653,.59530026,102.36
134387,0,.71156007,1,.74199653,93.879997
169729,71661,.74704492,.70313185,1,92.300003
143473,75454,.70934254,.65534627,.70313185,95.650002
182633,70665,.66540998,.72102028,.65534627,101.88
38575,98488,.80745339,.28143993,,-.38999999
0,139288,.65354329,0,.28143993,-3.28
36530,116474,.7305389,.23875193,0,22.700001
45650,146269,.70422536,.23786077,.23875193,29.49
0,139989,.63698632,0,.23786077,32.73
55038,150957,.6961326,.26718125,0,48.830002
59746,116072,.74842769,.33981732,.26718125,64.419998
102765,123161,.73191488,.45486131,.33981732,38.48
83504,112455,.70754719,.42612997,.45486131,54.84
74133,137735,.74233127,.34990183,.42612997,52.919998
47377,140702,.72020727,.25189948,.34990183,66.25
81875,124930,.72162163,.39590436,.25189948,70.559998
67646,116666,.70505619,.36701897,.39590436,80.410004
92847,110970,.72238809,.45554101,.36701897,57.27
99518,64596,.69959182,.60639554,.45554101,97.300003
144217,70036,.72029251,.67311543,.60639554,112.94
90156,48685,.67016625,.64934707,.67311543,94.910004
136758,70547,.71707952,.65969467,.64934707,95.870003
140177,0,.69242197,1,.65969467,95.190002
120008,104912,.6906212,.53355861,1,88.489998
113690,0,.72939867,1,.53355861,89.540001
181860,0,.75967175,1,1,
110232,101017,.70344007,.52181077,1,
133844,96206,.71496212,.58180398,.52181077,
33823,79709,.78064513,.297916,,9.5200005
0,108179,.71551722,0,.297916,8.8000002
33578,94162,.79545456,.26286206,0,
0,139657,.65714288,0,.26286206,-2.1199999
37216,91916,.69594592,.28820121,0,30.35
0,131310,.68586385,0,.28820121,-.5
0,106807,.66666669,0,0,20.49
58312,112835,.73593074,.34071296,0,
88187,113104,.70089287,.43810701,.34071296,22.309999
77646,141733,.78436655,.35393542,.43810701,12.74
66675,127744,.80365294,.34294489,.35393542,27.74
70304,136951,.54545456,.33921498,.34294489,
114276,70955,.70252103,.61693776,.33921498,99.239998
139697,78381,.6433121,.64058274,.61693776,106
119278,0,.63123846,1,.64058274,99.440002
121562,91655,.65625,.57013279,1,76.940002
97099,83511,.69623655,.53761697,.57013279,66.220001
111393,103192,.71486485,.51910895,.53761697,80.400002
117723,85849,.69866341,.57828683,.51910895,80.650002
168662,63363,.69565219,.72691303,.57828683,86.629997
131051,0,.73010379,1,.72691303,70.150002
177643,77186,.75181597,.69710666,1,92.300003
149284,80177,.67636365,.65058553,.69710666,87
130248,159165,.58905381,.45004198,.65058553,
59871,37250,.70085472,.61645782,,
100333,26339,.60799998,.79206926,.61645782,64.339996
91854,24307,.49404761,.79074734,.79206926,60.630001
105662,34663,.76119405,.75298059,.79074734,61.09
87415,48173,.61052632,.64471042,,58.650002
84243,27215,.6875,.75582731,.64471042,58.799999
117237,0,.75770926,1,.75582731,
119117,47289,.70329672,.71582156,1,74.360001
139095,41671,.71197408,.76947546,.71582156,71.690002
119543,40930,.69999999,.74494153,.76947546,66.25
119562,71689,.71315789,.62515754,.74494153,81.529999
115597,44463,.68431771,.72221041,.62515754,62.84
135193,64357,.70400941,.67748934,.72221041,72.900002
122165,0,.64685315,1,.67748934,36.18
162126,37063,.70094085,.81393051,1,115.87
145615,0,.67400163,1,.81393051,88
155759,0,.7267974,1,1,95.870003
151305,43063,.68051946,.77844602,1,85.5
167211,66930,.69221413,.71414661,.77844602,93.43
124183,0,.72817677,1,.71414661,83.68
188647,0,.7577197,1,1,92.300003
155380,0,.71777004,1,1,102.17
174837,78262,.67327666,.69078505,1,92.290001
43827,76305,.7672956,.3648237,,-.38999999
72767,75844,.63453817,.48964748,.3648237,8.8000002
61559,71983,.75999999,.46097109,.48964748,3.29
82114,85918,.65068495,.48868072,.46097109,21.41
74568,65614,.65217394,.53193706,.48868072,58.970001
92463,76312,.61212122,.54784775,.53193706,73.68
91263,46274,.66013074,.66355234,.54784775,73.040001
114333,59550,.71739131,.65752834,.66355234,67.330002
100814,37374,.74074072,.72954237,.65752834,71.120003
122050,0,.69184291,1,.72954237,73.620003
102104,0,.69478911,1,1,78.690002
107645,0,.75247526,1,1,77.459999
89875,0,.73549485,1,1,80.410004
142470,0,.69765067,1,1,76.809998
107042,0,.68484849,1,1,73.169998
133131,33437,.5,.79925919,1,
102160,28566,1,.78148186,.79925919,
128689,35477,.125,.78389555,.78148186,
123296,41370,.83333331,.74876416,.78389555,
179617,0,.60000002,1,.74876416,
104651,40259,.72757113,.72217929,1,
165745,40316,.75296915,.80434918,.72217929,87.209999
125479,39310,.69764704,.7614525,.80434918,97.110001
149903,0,.6857143,1,.7614525,92.290001
43367,69831,.71052629,.38310748,,
63275,82750,.6098485,.4333162,.38310748,-2.22
55949,78655,.70718235,.4156563,.4333162,3.29
71129,103708,.59183675,.40683037,.4156563,-12.65
62445,81378,.61744964,.43417951,.40683037,-18.4
71245,111860,.60109288,.3890937,.43417951,-.87
68486,82659,.65517241,.45311457,.3890937,20.49
88222,110955,.75330395,.44293267,.45311457,
105565,0,,1,.44293267,
118385,21557,1,.84595764,1,
87879,0,,1,.84595764,
77347,15906,,.82943177,1,
50269,17324,.73377705,.74370128,.82943177,57.009998
94804,0,.72263372,1,,97.300003
103901,34547,.73135358,.75046951,1,91.300003
106805,0,.71186441,1,.75046951,78.970001
104010,0,.75871313,1,1,75.339996
102665,55030,.72597867,.65103525,1,84.529999
153132,0,.69095474,1,.65103525,91.870003
110026,0,.74641675,1,1,77.910004
160799,0,.77012837,1,1,89.989998
124534,0,.70387781,1,1,92.059998
175550,54291,.67502505,.76378888,1,77.610001
54421,96607,.78666669,.36033717,,7.6900001
52022,118741,.67193675,.30464444,.36033717,20.040001
63618,88549,.76068377,.41808012,.30464444,3.29
84021,101221,.66197181,.45357424,.41808012,18.950001
70608,72502,.63194442,.49338272,.45357424,44.66
82882,93327,.63157892,.47036189,.49338272,28.639999
65159,71100,.64942527,.4781996,.47036189,31.08
70510,98257,.69142854,.41779494,.4781996,
65443,124091,.73015875,.34528369,.41779494,35.310001
78415,133403,.75862068,.37019989,.34528369,19.459999
92516,96675,.75703323,.48900846,.37019989,56.73
66949,138220,.72010177,.32631147,.48900846,73.400002
77497,102895,.7166065,.42960331,.32631147,75.459999
0,161708,.71179485,0,.42960331,72.900002
55871,99993,.69546622,.35845995,0,73.519997
0,176604,.73362446,0,.35845995,70.449997
64868,102080,.67975569,.38855213,0,76
85629,131794,.69632769,.39383599,.38855213,80.400002
138418,63014,.69343066,.68716985,.39383599,89.580002
143062,113745,.68427229,.55707985,.68716985,102.36
121578,49451,.71650058,.71086192,.55707985,93.879997
187178,93564,.74539173,.66672605,.71086192,98.400002
137805,120217,.71281463,.53408235,.66672605,92.059998
189342,75887,.66885555,.71388119,.53408235,87.400002
69093,26007,.5597015,.72652996,,68.169998
106366,0,.61000001,1,.72652996,60.279999
87699,18302,.38,.82734126,1,63.130001
86532,37816,.71212119,.69588572,.82734126,61.09
75613,21039,.70072991,.78232217,.69588572,74.309998
83532,27384,.59770113,.75311047,.78232217,65.720001
68353,16669,.70909089,.80394489,.75311047,68.040001
87866,0,.76497698,1,.80394489,
121030,67138,.75446427,.64320183,1,74.379997
179261,0,.74300253,1,.64320183,81.480003
141465,47705,.73430961,.74781942,1,84.82
169766,0,.76523703,1,.74781942,65.260002
143026,0,.74537039,1,1,99.75
154397,0,.7212348,1,1,80.720001
125978,0,.69975787,1,1,82.449997
131789,0,.69914043,1,1,37.18
133644,0,.71168834,1,1,63.029999
137066,0,.71409214,1,1,80.400002
144132,0,.7079857,1,1,79.480003
172010,0,.69249105,1,1,81.389999
114926,0,.72881359,1,1,73.489998
169692,40277,.74939173,.80817646,1,58.73
145480,0,.69334978,1,.80817646,76.879997
92622,0,.56953645,1,,69.300003
125015,0,.63599998,1,1,70.779999
102940,16746,.49411765,.86008388,1,77
111986,24271,.70895523,.82187337,.86008388,73.629997
79073,0,.70068026,1,.82187337,83.860001
89943,19099,.62650603,.82484728,1,73.68
72523,0,.76571429,1,.82484728,68.040001
86057,0,.78260869,1,1,
59681,107000,.72123891,.3580552,1,12.53
78313,115656,.79250723,.40373978,.3580552,19.459999
80473,98372,.80689657,.44995946,.40373978,22.620001
0,173295,.77057356,0,.44995946,37.950001
98910,100432,.71875,.49618244,0,29.870001
117710,116592,.68534082,.5023858,.49618244,110.43
138779,46787,.69537479,.74786866,.5023858,97.300003
222418,0,.69230771,1,.74786866,122.36
176704,0,.66772658,1,1,100
195791,71620,.70273632,.73217255,1,106.27
42274,87839,.76875001,.32490221,,-.38999999
69050,89913,.66171002,.43437782,.32490221,26.040001
54243,90387,.72560978,.37504667,.43437782,23.23
74730,114761,.63636363,.39437228,.37504667,30.110001
65854,90924,.67785233,.42004618,.39437228,44.66
87719,109950,.66844922,.4437671,.42004618,14.51
89073,77400,.7206704,.53505975,.4437671,68.040001
126936,89921,.77215189,.58534425,.53505975,74.540001
40999,71566,,.36422512,,
55369,87973,.68085104,.38627198,.36422512,-3.28
46332,84508,.84177214,.35411188,.38627198,-2.79
62554,108215,,.36630771,.35411188,
53818,87840,.68148148,.379915,.36630771,44.66
67183,111420,.73446327,.3761583,.379915,14.51
57920,90751,.67669171,.38958505,.3761583,12.6
75815,115209,.71052629,.3968873,.38958505,
36316,53909,.76973683,.40250486,,23.74
51262,64794,.68936169,.44170055,.40250486,20.040001
42371,57371,.82278478,.424806,.44170055,17.16
54746,82689,.69230771,.39834103,.424806,18.950001
53584,54052,.66187048,.49782601,.39834103,32.73
58104,78296,.72527474,.42598242,.49782601,58.650002
44051,62734,.73509932,.4125205,.42598242,49.560001
67717,88118,.74175823,.43454295,.4125205,
57910,65651,.62037039,.4686754,.43454295,-.47999999
79097,74939,.72590363,.51349682,.4686754,71.690002
56750,72909,.74186552,.43768653,.51349682,5.7800002
57959,100269,.76372313,.36630052,.43768653,8.3299999
34882,72170,.66721582,.32584164,.36630052,14.02
42996,115732,.69532102,.27087849,.32584164,14.01
58388,53610,.68800646,.52133071,.27087849,62.970001
107806,48087,.72154474,.69153845,.52133071,80.470001
82697,49131,.71081311,.6273098,.69153845,55
114061,73565,.70355189,.60791683,.6273098,75.050003
76281,61876,.716129,.55213273,.60791683,75.800003
76854,111627,.48478016,.40775463,.55213273,2.74
54787,70739,.4957265,.43645939,.40775463,.38
86623,131824,.45549133,.39654014,.43645939,
66176,81684,.49827784,.44755849,.39654014,11.12
108578,135936,.51904762,.44405636,.44755849,9.1099997
24904,45963,.73648649,.35141885,,-.38999999
43289,59505,.61977184,.4211238,.35141885,8.8000002
30389,55116,.75287354,.35540611,.4211238,16.92
40373,80061,.57943922,.33522925,.35540611,-2.1199999
33415,51010,.61764705,.39579508,.33522925,44.66
39726,77019,.64161849,.34028009,.39579508,48.830002
37212,52636,.69230771,.41416615,.34028009,31.08
51145,77701,.64670658,.39694673,.41416615,24.049999
41539,56152,.6695652,.42520806,.39694673,9.29
62382,62680,.73036647,.49880859,.42520806,29.25
32838,66176,.75458717,.33165008,.49880859,22.620001
35942,88609,.68925232,.28857255,.33165008,37.950001
32374,74219,.68982232,.303716,.28857255,32.84
51259,107021,.69365853,.32385013,.303716,22.1
38463,69068,.66159052,.35769221,.32385013,26.85
65792,100911,.72171468,.39466596,.35769221,12.05
39546,84535,.64034253,.31871116,.39466596,23
63350,113304,.63764405,.35861063,.31871116,34.82
37906,92098,.57244658,.29157564,.35861063,7.9000001
42257,138975,.49214026,.23316522,.29157564,19.309999
29688,85479,.51719743,.25778219,.23316522,12.01
89677,119742,.49822906,.42821807,.25778219,13.97
74829,67063,.69274378,.52736586,.42821807,
157328,91126,.70162058,.63322788,.52736586,
74324,55900,.56875002,.57073963,,76.169998
95045,58209,.63736266,.62017959,.57073963,77.410004
90065,52553,.47093022,.63151217,.62017959,73.830002
105404,86523,.74285716,.54918796,.63151217,71.629997
89678,61990,.64864862,.59127831,.54918796,63.41
96732,76714,.63636363,.55770671,.59127831,87.230003
97425,57581,.69064748,.62852407,.55770671,68.040001
117162,59737,.73205739,.66231012,.62852407,74.540001
80333,61186,.75999999,.56764817,.66231012,67.870003
110056,56056,.7087087,.66254091,.56764817,81.480003
79046,60093,.68550366,.56810814,.66254091,78.32
97945,62394,.70893371,.61086196,.56810814,83.029999
86283,52962,.67198581,.61964881,.61086196,86.360001
120705,67125,.71428573,.64262897,.61964881,86.050003
105288,39096,.6917749,.72922206,.64262897,99.440002
116674,68080,.71186441,.63151002,.72922206,83.43
86768,54912,.69166666,.61242235,.63151002,87
120756,57844,.73577237,.67612541,.61242235,75.050003
97254,61253,.68688291,.61356282,.67612541,69.379997
130584,60026,.67866004,.6850847,.61356282,78.610001
85077,62397,.74939758,.57689494,.6850847,77.910004
84141,105506,.60232556,.44367167,.57689494,58.73
73131,89963,.56818181,.44839785,.44367167,46.529999
48092,135982,.61761761,.2612645,.44839785,38.470001
74349,66987,.56493509,.52604431,,85.459999
98586,66672,.61085975,.59655809,.52604431,70.779999
93039,60036,.44444445,.60780013,.59655809,73.830002
115057,100305,.79816514,.53424931,.60780013,71.629997
105522,68869,.62937063,.60508859,.53424931,53.18
105496,96568,.58181816,.52209198,.60508859,58.650002
117506,67942,.71005917,.63363314,.52209198,73.040001
151544,63795,.71649486,.7037462,.63363314,74.540001
127184,49955,.72959185,.7179898,.7037462,67.849998
168374,38601,.71061093,.81349921,.7179898,60.459999
117911,64438,.71859294,.64662266,.81349921,78.690002
124044,78502,.73333335,.61242384,.64662266,83.029999
121704,61819,.72872341,.66315395,.61242384,81.300003
